,Task_name,Task_description,Task_label,Task_priority,Sprint_number,Planned_estimate,Actual_estimate,Optimistic,Most_likely,Pessimistic,Weighted_average,Standard_deviation,Risk_factor,Standard_confidence,High_confidence,Higher_confidence,Highest_confidence,Final_estimate,Variance,Ai_estimate
486,JDBC | FILE throws ConverterNotFoundException when split=0,"I am trying to create a simple JDBC|FILE stream with Split=0 at the jdbc source. following is the DSL  stream create --name test --definition ""jdbc --fixedDelay=5 --split=0 --query='select * from top_movie_companies'|file --dir=/tmp --suffix=xd --name=test"" --deploy  It throws  org.springframework.core.convert.ConverterNotFoundException: No converter found capable of converting from type java.util.ArrayList<?> to type java.lang.String   org.springframework.integration.util.AbstractExpressionEvaluator.evaluateExpression(AbstractExpressionEvaluator.java:138)  It works fine when I use LOG sink instead of FILE.   I am assuming that if LOG sink works with JDBC then file should be similar. The converter should be registered out of the box.  It could be something basic I am missing as I'm relatively new to XD.",EST_BE,Medium,INT Sprint 1,2,3,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
487,Add FlagDecorator to support FlagHandler in Python,"DM-4009 added the C++ and swig changes needed to allow the FlagHandler to be used from Python.  During review, Nate suggested that a decorator class could be used to improve the use of this code in Python.  This ticket will be to review Nate's decorator and confirm that it is the correct model for Python-only plugins.    We will also modify the unit test in DM-4009 and the EmPsfApprox plugin in DM-6123 to use the decorator.",EST_BE,Medium,INT Sprint 1,4,4,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
488,Clean enrol_imsenterprise following coding guidelines,"While reviewing MDL-28962 I detected that enrol/imsenterprise/lib.php is one of the worst files I've seen from the POV of Moodle coding guidelines (spaces, comments..., if/loop...).    I think it would be great to perform a general cleanup for it. For your consideration if only dev or all 2.x stable branches too (note that, right now the file is 100% the same in 20, 21 and master). I'm sending this to STABLE backlog initially.    Ciao :-)",EST_BE,Medium,INT Sprint 1,6,6,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
489,Activity show/hide toggle doesn't work in hidden or orphaned sections,Clicking in the eye doesn't change the status but doing right click and opening link in new page works fine.    I have tested it in different themes with Topics course format.    Tested in Firefox 26 and Chrome 18,EST_BE,Medium,INT Sprint 1,6,6,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
490,Investigate inconsistent Spark streaming test failure,"These tests fail inconsistently:  org.springframework.xd.spark.streaming.LocalTransportSparkStreamingTests > testTapSparkProcessor FAILED    java.lang.AssertionError  org.springframework.xd.spark.streaming.RedisTransportSparkStreamingTests > testTapSparkProcessor FAILED    java.lang.AssertionError  java.lang.AssertionError:  Expected: an existing metric, trying at most 20 times     but: failed after 20*100=2000ms: counter named 'random5656' did not exist,",EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
491,CA popup shifts between proposals,"See the attached images    # Open a new JS file  # Type 'a'. See popup for alert  # arrow down to ""Array""  # Note the popup shift    Neither is correct. I believe it should have the horizontal spacing of the ""alert()"" case, but the vertical alignment of the ""Array"" case",EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
492,Email validation new UDI does not launch in an analysis,I add the email validation udi in an column anaylis on an email data (the one in cust data examples of the DQDEMO project).  The analysis does not even run. State is null.  see screenshots.,EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
493,Create DMBP project in jira,"Create a new project in JIRA (DM Baseline Plan), spec provided here: https://confluence.lsstcorp.org/display/DM/ProjMgmtWG%3A+The+New+DLP  I am sure we will fine tune it, but it is a (hopefully good) start.",EST_BE,Medium,INT Sprint 1,4,4,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
494,Add Message Source for error messages returned to users,,EST_BE,Medium,INT Sprint 1,6,7,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
495,ci_hsc failure: AttributeError: 'Butler' object has no attribute 'repository',"Following [~npease]'s [recent changes to the Butler|https://community.lsst.org/t/im-checking-in-butler-changes-related-to-rfc-184/959], ci_hsc is failing as follows:    {code}  [2016-07-20T07:57:31.954576Z] Traceback (most recent call last):  [2016-07-20T07:57:31.954643Z]   File ""/home/jenkins-slave/workspace/stack-os-matrix/compiler/gcc/label/centos-7/python/py2/lsstsw/build/ci_hsc/bin/validate.py"", line 3, in <module>  [2016-07-20T07:57:31.954664Z]     main()  [2016-07-20T07:57:31.954732Z]   File ""/home/jenkins-slave/workspace/stack-os-matrix/compiler/gcc/label/centos-7/python/py2/lsstsw/build/ci_hsc/python/lsst/ci/hsc/validate.py"", line 53, in main  [2016-07-20T07:57:31.954756Z]     validator.run(dataId)  [2016-07-20T07:57:31.954825Z]   File ""/home/jenkins-slave/workspace/stack-os-matrix/compiler/gcc/label/centos-7/python/py2/lsstsw/build/ci_hsc/python/lsst/ci/hsc/validate.py"", line 155, in run  [2016-07-20T07:57:31.954851Z]     self.validateDataset(dataId, ds)  [2016-07-20T07:57:31.954923Z]   File ""/home/jenkins-slave/workspace/stack-os-matrix/compiler/gcc/label/centos-7/python/py2/lsstsw/build/ci_hsc/python/lsst/ci/hsc/validate.py"", line 117, in validateDataset  [2016-07-20T07:57:31.954956Z]     mappers = self.butler.repository.mappers()  [2016-07-20T07:57:31.954991Z] AttributeError: 'Butler' object has no attribute 'repository'  [2016-07-20T07:57:32.023212Z] scons: *** [.scons/ingestValidation-903342-100] Error 1  {code}    See e.g. https://ci.lsst.codes/job/stack-os-matrix/13274/compiler=gcc,label=centos-7,python=py2/console.    Please fix it. ",EST_BE,Medium,INT Sprint 1,2,2,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
496,[5.1] Familiarizing with Talend BPM product,,EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
497,"After Update, An exception occurred in the script. Error name: Type Error","After updating to the latest version, I get the following error from the dashboard:    ""An exception occurred in the script. Error name: Type Error. Error description: Object doesn't support this property or method. Error number: -2146827850. Error message: Object doesn't support this property or method""    Log file shows:    {code}  !ENTRY com.aptana.portal.ui 4 0 2012-10-21 10:17:58.740  !MESSAGE (Build 2.1.2.201208301612) [ERROR]  wrong number of arguments  !STACK 0  java.lang.IllegalArgumentException: wrong number of arguments    sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)    sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)    java.lang.reflect.Method.invoke(Unknown Source)    com.aptana.portal.ui.dispatch.actionControllers.AbstractActionController.invokeAction(AbstractActionController.java:101)    com.aptana.portal.ui.dispatch.browserFunctions.DispatcherBrowserFunction.dispatch(DispatcherBrowserFunction.java:137)    com.aptana.portal.ui.dispatch.browserFunctions.DispatcherBrowserFunction.function(DispatcherBrowserFunction.java:121)    com.aptana.portal.ui.internal.BrowserWrapper$2.function(BrowserWrapper.java:51)    org.eclipse.swt.browser.WebSite.Invoke(WebSite.java:773)    org.eclipse.swt.browser.WebSite$7.method6(WebSite.java:129)    org.eclipse.swt.internal.ole.win32.COMObject.callback6(COMObject.java:119)    org.eclipse.swt.internal.win32.OS.DispatchMessageW(Native Method)    org.eclipse.swt.internal.win32.OS.DispatchMessage(OS.java:2531)    org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:3752)    org.eclipse.jface.window.Window.runEventLoop(Window.java:825)    org.eclipse.jface.window.Window.open(Window.java:801)    org.eclipse.jface.dialogs.MessageDialog.open(MessageDialog.java:334)    com.aptana.git.ui.GitUIPlugin$GitInstallationValidatorJob.runInUIThread(GitUIPlugin.java:181)    org.eclipse.ui.progress.UIJob$1.run(UIJob.java:95)    org.eclipse.swt.widgets.RunnableLock.run(RunnableLock.java:35)    org.eclipse.swt.widgets.Synchronizer.runAsyncMessages(Synchronizer.java:135)    org.eclipse.swt.widgets.Display.runAsyncMessages(Display.java:4140)    org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:3757)    org.eclipse.ui.internal.Workbench.runEventLoop(Workbench.java:2701)    org.eclipse.ui.internal.Workbench.runUI(Workbench.java:2665)    org.eclipse.ui.internal.Workbench.access$4(Workbench.java:2499)    org.eclipse.ui.internal.Workbench$7.run(Workbench.java:679)    org.eclipse.core.databinding.observable.Realm.runWithDefault(Realm.java:332)    org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:668)    org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:149)    com.appcelerator.titanium.rcp.IDEApplication.start(IDEApplication.java:125)    org.eclipse.equinox.internal.app.EclipseAppHandle.run(EclipseAppHandle.java:196)    org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.runApplication(EclipseAppLauncher.java:110)    org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.start(EclipseAppLauncher.java:79)    org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:344)    org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:179)    sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)    sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)    java.lang.reflect.Method.invoke(Unknown Source)    org.eclipse.equinox.launcher.Main.invokeFramework(Main.java:622)    org.eclipse.equinox.launcher.Main.basicRun(Main.java:577)    org.eclipse.equinox.launcher.Main.run(Main.java:1410)  {code}",EST_BE,Medium,INT Sprint 1,16,17,15,16,16,15.83,0.17,0.01,15.83,15.92,16.05,16.23,15,6561,8
498,LinuxFilesystemIsolatorTest.ROOT_MultipleContainers fails.,Observed on our CI:  {noformat}  [09:34:15] :	 [Step 11/11] [ RUN      ] LinuxFilesystemIsolatorTest.ROOT_MultipleContainers  [09:34:19]W:	 [Step 11/11] I0309 09:34:19.906719  2357 linux.cpp:81] Making '/tmp/MLVLnv' a shared mount  [09:34:19]W:	 [Step 11/11] I0309 09:34:19.923548  2357 linux_launcher.cpp:101] Using /sys/fs/cgroup/freezer as the freezer hierarchy for the Linux launcher  [09:34:19]W:	 [Step 11/11] I0309 09:34:19.924705  2376 containerizer.cpp:666] Starting container 'da610f7f-a709-4de8-94d3-74f4a520619b' for executor 'test_executor1' of framework ''  [09:34:19]W:	 [Step 11/11] I0309 09:34:19.925355  2371 provisioner.cpp:285] Provisioning image rootfs '/tmp/MLVLnv/provisioner/containers/da610f7f-a709-4de8-94d3-74f4a520619b/backends/copy/rootfses/0d7e047a-50f1-490b-bb58-00e9c49628d0' for container da610f7f-a709-4de8-94d3-74f4a520619b  [09:34:19]W:	 [Step 11/11] I0309 09:34:19.925881  2377 copy.cpp:127] Copying layer path '/tmp/MLVLnv/test_image1' to rootfs '/tmp/MLVLnv/provisioner/containers/da610f7f-a709-4de8-94d3-74f4a520619b/backends/copy/rootfses/0d7e047a-50f1-490b-bb58-00e9c49628d0'  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.835127  2376 linux.cpp:355] Bind mounting work directory from '/tmp/MLVLnv/slaves/test_slave/frameworks/executors/test_executor1/runs/da610f7f-a709-4de8-94d3-74f4a520619b' to '/tmp/MLVLnv/provisioner/containers/da610f7f-a709-4de8-94d3-74f4a520619b/backends/copy/rootfses/0d7e047a-50f1-490b-bb58-00e9c49628d0/mnt/mesos/sandbox' for container da610f7f-a709-4de8-94d3-74f4a520619b  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.835392  2376 linux.cpp:683] Changing the ownership of the persistent volume at '/tmp/MLVLnv/volumes/roles/test_role/persistent_volume_id' with uid 0 and gid 0  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.840425  2376 linux.cpp:723] Mounting '/tmp/MLVLnv/volumes/roles/test_role/persistent_volume_id' to '/tmp/MLVLnv/provisioner/containers/da610f7f-a709-4de8-94d3-74f4a520619b/backends/copy/rootfses/0d7e047a-50f1-490b-bb58-00e9c49628d0/mnt/mesos/sandbox/volume' for persistent volume disk(test_role)[persistent_volume_id:volume]:32 of container da610f7f-a709-4de8-94d3-74f4a520619b  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.843878  2374 linux_launcher.cpp:304] Cloning child process with flags = CLONE_NEWNS  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.848302  2371 containerizer.cpp:666] Starting container 'fe4729c5-1e63-4cc6-a2e3-fe5006ffe087' for executor 'test_executor2' of framework ''  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.848758  2371 containerizer.cpp:1392] Destroying container 'da610f7f-a709-4de8-94d3-74f4a520619b'  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.848865  2373 provisioner.cpp:285] Provisioning image rootfs '/tmp/MLVLnv/provisioner/containers/fe4729c5-1e63-4cc6-a2e3-fe5006ffe087/backends/copy/rootfses/518b2464-43dd-47b0-9648-e78aedde6917' for container fe4729c5-1e63-4cc6-a2e3-fe5006ffe087  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.849449  2375 copy.cpp:127] Copying layer path '/tmp/MLVLnv/test_image2' to rootfs '/tmp/MLVLnv/provisioner/containers/fe4729c5-1e63-4cc6-a2e3-fe5006ffe087/backends/copy/rootfses/518b2464-43dd-47b0-9648-e78aedde6917'  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.854038  2374 cgroups.cpp:2427] Freezing cgroup /sys/fs/cgroup/freezer/mesos/da610f7f-a709-4de8-94d3-74f4a520619b  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.856693  2372 cgroups.cpp:1409] Successfully froze cgroup /sys/fs/cgroup/freezer/mesos/da610f7f-a709-4de8-94d3-74f4a520619b after 2.608128ms  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.859237  2377 cgroups.cpp:2445] Thawing cgroup /sys/fs/cgroup/freezer/mesos/da610f7f-a709-4de8-94d3-74f4a520619b  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.861454  2377 cgroups.cpp:1438] Successfullly thawed cgroup /sys/fs/cgroup/freezer/mesos/da610f7f-a709-4de8-94d3-74f4a520619b after 2176us  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.934608  2378 containerizer.cpp:1608] Executor for container 'da610f7f-a709-4de8-94d3-74f4a520619b' has exited  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.937692  2372 linux.cpp:798] Unmounting volume '/tmp/MLVLnv/provisioner/containers/da610f7f-a709-4de8-94d3-74f4a520619b/backends/copy/rootfses/0d7e047a-50f1-490b-bb58-00e9c49628d0/mnt/mesos/sandbox/volume' for container da610f7f-a709-4de8-94d3-74f4a520619b  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.937742  2372 linux.cpp:817] Unmounting sandbox/work directory '/tmp/MLVLnv/provisioner/containers/da610f7f-a709-4de8-94d3-74f4a520619b/backends/copy/rootfses/0d7e047a-50f1-490b-bb58-00e9c49628d0/mnt/mesos/sandbox' for container da610f7f-a709-4de8-94d3-74f4a520619b  [09:34:30]W:	 [Step 11/11] I0309 09:34:30.938129  2375 provisioner.cpp:330] Destroying container rootfs at '/tmp/MLVLnv/provisioner/containers/da610f7f-a709-4de8-94d3-74f4a520619b/backends/copy/rootfses/0d7e047a-50f1-490b-bb58-00e9c49628d0' for container da610f7f-a709-4de8-94d3-74f4a520619b  [09:34:45] :	 [Step 11/11] ../../src/tests/containerizer/filesystem_isolator_tests.cpp:1318: Failure  [09:34:45] :	 [Step 11/11] Failed to wait 15secs for wait1  [09:34:48] :	 [Step 11/11] [  FAILED  ] LinuxFilesystemIsolatorTest.ROOT_MultipleContainers (32341 ms)  {noformat},EST_BE,Medium,INT Sprint 1,6,6,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
499,BlackBerry: Fix/implement relative include/require,"Currently, include()'s method of doing relative files only works if all done in successive order. It does not work for windows with a url (not implemented) or if include is used in a function of a file in a subdir.  Also, require() does not have any method right now.    My proposal is to store the filepath in each TiObject so it can be retrieved later when needed.    Also, we need to make sure that require() properly handles a ""native Titanium module"" by its ID (eg com.example.module).",EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
500,"java engine ""column set"" drill down  result is not correct when studio language is French","1. set studio language is French  2. create a column set analysis about tbi-->employee, add columns ""education_level"" and ""position_id"", set java engine run it.  3. turn to analysis result page, try to check the ""view value"" result of indicators.    the result can not show correctly, should only show the columns which selected in analysis, but now it show all,  when studio language is English , it is correct.",EST_BE,Medium,INT Sprint 1,2,3,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
501,Setup Qserv for SUI tests,Setup Qserv on lsst-db2 with and load some reasonable data set (perhaps PT 1.2). One potential caveat: we need to setup access for some accounts that are ideally other than our internal qsmaster.,EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
502,Add documentation for a 'stdin' source module,"In order to support ingestion from stdin, the suggested approach is to do the following.    xd:>stream create --definition ""tcp --decoder=LF | log"" --name foo    $ cat my.log | netcat localhost 1234    So while this is really a tcp based ingestion case, once can use pipe or redirect of stdin/err in order to achieve the same goal.  It should appear as a source module in the docs on par with other source modules in its own section.  ",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
503,Add AuthN and AuthZ to maintenance endpoints.,Maintenance endpoints are currently only restricted by firewall settings.  They should also support authentication/authorization like other HTTP endpoints.,EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
504,loopback on tRESTRequest component,"I can see my service in list of all CXF services in RESTful section    Available RESTful services:  Endpoint address: http://localhost:8099/customers  WADL : http://localhost:8099/customers?_wadl&type=xml    I can explain the following issue by looking in the connections table on my test host    netstat -nap  Active Internet connections (servers and established)  Proto Recv-Q Send-Q Local Address               Foreign Address             State       PID/Program name  tcp        0      0 0.0.0.0:8000                0.0.0.0:*                   LISTEN      2462/java  tcp        0      0 0.0.0.0:8001                0.0.0.0:*                   LISTEN      2462/java  tcp        0      0 127.0.0.1:8099              0.0.0.0:*                   LISTEN      2462/java  tcp        0      0 0.0.0.0:8101                0.0.0.0:*                   LISTEN      2462/java  tcp        0      0 0.0.0.0:8040                0.0.0.0:*                   LISTEN      2462/java  tcp        0      0 0.0.0.0:1099                0.0.0.0:*                   LISTEN      2462/java  tcp        0      0 0.0.0.0:35469               0.0.0.0:*                   LISTEN      2462/java  tcp        0      0 0.0.0.0:22                  0.0.0.0:*                   LISTEN      1976/sshd  tcp        0      0 0.0.0.0:8888                0.0.0.0:*                   LISTEN      2462/java    as I can see the RESTservice on port (8099) is only bound to the loopback interface 127.0.0.1:8099   (only available on the local machine)  127.0.0.1:8099 means access is allowed only from local computer.  And 0.0.0.0:8040 means from any other computer on all networks, so that is a difference because I can access to SOAP services from remote host",EST_BE,Medium,INT Sprint 1,2,3,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
505,Support multiple-aperture fluxes in slots,"We should be able to use multiple-aperture flux results in slots.  While this is technically possible already by setting specific aliases, it doesn't work through the usual mechanisms for setting up slots (the define methods in SourceTable and the SourceSlotConfig in meas_base).  After addressing this, we should remove the old SincFlux and NaiveFlux algorithms, as the new CircularApertureFlux algorithm will be able to do everything they can do.",EST_BE,Medium,INT Sprint 1,4,5,3,4,5,4.0,0.33,0.08,4.0,4.17,4.42,4.77,4,729,8
506,"after preview some data, will get some errors","right click on a table or a column, select ""preview""  the result was right, and seems nothing serious but at ""Error Log"" view will get this tack ::      org.eclipse.swt.SWTException: Failed to execute runnable (org.eclipse.swt.SWTException: Widget is disposed)  at org.eclipse.swt.SWT.error(SWT.java:3884)  at org.eclipse.swt.SWT.error(SWT.java:3799)  at org.eclipse.swt.widgets.Synchronizer.runAsyncMessages(Synchronizer.java:137)  at org.eclipse.swt.widgets.Display.runAsyncMessages(Display.java:3468)  at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:3115)  at org.eclipse.ui.internal.Workbench.runEventLoop(Workbench.java:2405)  at org.eclipse.ui.internal.Workbench.runUI(Workbench.java:2369)  at org.eclipse.ui.internal.Workbench.access$4(Workbench.java:2221)  at org.eclipse.ui.internal.Workbench$5.run(Workbench.java:500)  at org.eclipse.core.databinding.observable.Realm.runWithDefault(Realm.java:332)  at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:493)  at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:149)  at org.talend.datacleansing.core.ui.intro.Application.start(Unknown Source)  at org.eclipse.equinox.internal.app.EclipseAppHandle.run(EclipseAppHandle.java:194)  at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.runApplication(EclipseAppLauncher.java:110)  at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.start(EclipseAppLauncher.java:79)  at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:368)  at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:179)  at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)  at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)  at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)  at java.lang.reflect.Method.invoke(Method.java:597)  at org.eclipse.equinox.launcher.Main.invokeFramework(Main.java:559)  at org.eclipse.equinox.launcher.Main.basicRun(Main.java:514)  at org.eclipse.equinox.launcher.Main.run(Main.java:1311)  Caused by: org.eclipse.swt.SWTException: Widget is disposed  at org.eclipse.swt.SWT.error(SWT.java:3884)  at org.eclipse.swt.SWT.error(SWT.java:3799)  at org.eclipse.swt.SWT.error(SWT.java:3770)  at org.eclipse.swt.widgets.Widget.error(Widget.java:450)  at org.eclipse.swt.widgets.Widget.checkWidget(Widget.java:388)  at org.eclipse.swt.widgets.Tree.getSelection(Tree.java:1709)  at org.eclipse.jface.viewers.TreeViewer.getSelection(TreeViewer.java:255)  at org.eclipse.jface.viewers.TreeViewer.setSelection(TreeViewer.java:343)  at org.eclipse.jface.viewers.AbstractTreeViewer.setSelectionToWidget(AbstractTreeViewer.java:2477)  at org.eclipse.jface.viewers.AbstractTreeViewer.setSelectionToWidget(AbstractTreeViewer.java:2900)  at org.eclipse.jface.viewers.StructuredViewer.preservingSelection(StructuredViewer.java:1399)  at org.eclipse.jface.viewers.TreeViewer.preservingSelection(TreeViewer.java:402)  at org.eclipse.jface.viewers.StructuredViewer.preservingSelection(StructuredViewer.java:1353)  at org.eclipse.jface.viewers.StructuredViewer.refresh(StructuredViewer.java:1455)  at org.eclipse.jface.viewers.ColumnViewer.refresh(ColumnViewer.java:537)  at org.eclipse.jface.viewers.StructuredViewer.refresh(StructuredViewer.java:1414)  at net.sourceforge.sqlexplorer.connections.ConnectionsView$5.run(Unknown Source)  at org.eclipse.swt.widgets.RunnableLock.run(RunnableLock.java:35)  at org.eclipse.swt.widgets.Synchronizer.runAsyncMessages(Synchronizer.java:134)  ... 22 more",EST_BE,Medium,INT Sprint 1,6,6,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
507,Yosemite: Node.ACS update is not listed in Studio update wizard,"When *acs* is installed through the studio update wizard, it's not listed in update components list.   Please refer the attached screenshots to see the difference between OSX10.10 and 10.9.5  *10.10.png* :  Screenshot from OSX 10.10 with 3.4.0 GA live-stack  *10.9.5.png* : Screenshot from  OSX 10.9.5 with same 3.4.0 live-stack    h5. Steps To Reproduce  1. Uninstall ACS from your machine  2. Open Studio  3. Check for Appcelerator Updates     h5. Actual Result  Studio doesn't list the node.acs component in update list, but release notes are correctly displayed.    h5. Expected Result  Studio should list the acs component in update list.  10.10.png and 10.9.5.png should be identical. ",EST_BE,Medium,INT Sprint 1,16,17,15,16,17,16.0,0.33,0.02,16.0,16.17,16.42,16.77,16,7569,8
508,Change integration test user from root to qsmaster,Currently integration tests use root account as default user - this should be changed to qsmaster for the future.,EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
509,handle org.talend.dqdemos,,EST_BE,Medium,INT Sprint 1,6,6,5,6,6,5.83,0.17,0.03,5.83,5.92,6.05,6.23,5,961,8
510,Add command for deleting a stream,,EST_BE,Medium,INT Sprint 1,2,2,1,2,3,2.0,0.33,0.16,2.0,2.17,2.42,2.77,2,289,8
511,CgroupsAnyHierarchyWithPerfEventTest failing on Ubuntu 14.04,"[ RUN      ] CgroupsAnyHierarchyWithPerfEventTest.ROOT_CGROUPS_Perf  ../../src/tests/containerizer/cgroups_tests.cpp:172: Failure  (cgroups::destroy(hierarchy, cgroup)).failure(): Failed to remove cgroup '/sys/fs/cgroup/perf_event/mesos_test': Device or resource busy  ../../src/tests/containerizer/cgroups_tests.cpp:190: Failure  (cgroups::destroy(hierarchy, cgroup)).failure(): Failed to remove cgroup '/sys/fs/cgroup/perf_event/mesos_test': Device or resource busy  [  FAILED  ] CgroupsAnyHierarchyWithPerfEventTest.ROOT_CGROUPS_Perf (9 ms)  [----------] 1 test from CgroupsAnyHierarchyWithPerfEventTest (9 ms total)  ",EST_BE,Medium,INT Sprint 1,6,7,5,6,7,6.0,0.33,0.06,6.0,6.17,6.42,6.77,6,1369,8
512,Titanium.UI.iPhone.SystemButton does not exist,"Sometimes it does, other times not... ditto for {{SystemButtonStyle}}. (iPhone emulator)  Restarting Titanium developer and deleting the build folder brought it back. But...",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
513,"Some aggregate href reffering to definition labels are not correct in definition file , update them as same as ""label"" in definition file.","The refactoring of TDQ-4714 caused some hrefs of aggregate tag not same to the ""label"" attribute of definition, update them.",EST_BE,Medium,INT Sprint 1,4,5,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
514,Add validation behavior to FlagsBase,"In every ""launcher"" file (ie, those containing some variation on {{main()}}) there is a minor variation on:  {code}    if (flags.help) {      cout << flags.usage() << endl;      // arguably this is not an error: the user asked for help,      // and she got it: // the program execution ought to be      // considered successful.      return EXIT_SUCCESS;    }  {code}    As this is default behavior, and we've added support for the {{--help}} flag in the {{FlagsBase}} class, we should add this too there and remove it from everywhere else.    Additionally, a recurring behavior is checking for the presence of a {{required}} flag:  {code}  if (flags.master.isNone()) {    EXIT(EXIT_FAILURE) << flags.usage(""--master is required"");  }  {code}    or some variation thereof: we should add automatic validation for required flags during parsing.    This follows the DRY principle.",EST_BE,Medium,INT Sprint 1,2,2,1,2,2,1.83,0.17,0.09,1.83,1.92,2.05,2.23,1,121,8
515,DB: Insert with bulk mode set to true does not return the correct metadata,"The new db component is not returning the correct datasense metadata when using the insert operation with the bulk mode set to true.    Example: INSERT INTO TABLE TB1 VALUES(PAYLOAD.ID, PAYLOAD.NAME) with BULK = TRUE    the expected metadata should be List<{id, name}>. Today it is returning {id, name}",EST_BE,Medium,INT Sprint 1,4,4,3,4,4,3.83,0.17,0.04,3.83,3.92,4.05,4.23,3,441,8
516,Task 2: Changes in model architecture to add new features,Add branches and layers in model architecture to use new input features.,EST_AI,Medium,ET Sprint 3,2,2,2,2,2,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2,100,8
